,0,1,2,3,4,5,6,7,8,9
elevation,0.05503577325261422,0.05760410933773619,0.0484314804623005,0.05797101449275366,0.050449458814896375,0.05631994129517526,0.06219042377545403,0.06329113924050633,0.05631994129517526,0.055586130985140314
amount_tsh,0.036507062924234,0.0332049165290772,0.034672537149146976,0.03448908457163824,0.03669051550174285,0.03705742065676021,0.03577325261419928,0.034672537149146976,0.03503944230416434,0.03503944230416434
public_meeting,0.009906439185470517,0.00935608145294442,0.00935608145294442,0.010823702073014085,0.00807191341038338,0.006971197945331187,0.009172628875435684,0.008805723720418213,0.010456796917996725,0.00935608145294442
time_interval,0.05503577325261422,0.044945881489634965,0.054301962942579385,0.051733626857457415,0.055586130985140314,0.04696385984223084,0.057237204182718826,0.05356815263254455,0.046963859842230726,0.052100532012474776
water_quality_character,0.0012841680425610402,0.0,-0.0005503577325260967,0.0005503577325262077,0.001651073197578401,0.0011007154650523043,-0.0012841680425609292,0.0023848835076133446,-0.0012841680425609292,0.0014676206200697761
region,0.09337736195193547,0.08842414235920015,0.08934140524674372,0.09411117226197019,0.09209319390937432,0.08952485782425246,0.0908090258668135,0.0913593835993396,0.08934140524674372,0.09135938359933948
scheme_management,0.040176114474408386,0.038525041276829874,0.034672537149146865,0.035589800036690544,0.03999266189689965,0.03558980003669043,0.035589800036690544,0.03687396807925147,0.03742432581177768,0.03448908457163813
extraction_type_group,0.050816363969913736,0.04769767015226567,0.0473307649972482,0.049165290772335335,0.05393505778756191,0.04641350210970463,0.045679691799669686,0.04971564850486154,0.048798385617317974,0.04714731241973946
management,0.031003485598972702,0.031737295909007535,0.031003485598972702,0.029535864978902926,0.03522289488167307,0.02898550724637672,0.029168959823885454,0.029719317556411662,0.03063658044395523,0.028251696936341997
payment_type,0.07117960007338109,0.07705008255365986,0.07099614749587235,0.07374793615850306,0.07741698770867722,0.07796734544120343,0.0799853237937993,0.07686662997615112,0.07539900935608146,0.07374793615850306
water_quality,0.0018345257750870259,0.0003669051550174718,0.0022014309301046087,0.003302146395156913,0.0025683360851219694,0.002935241240139441,0.0018345257750871369,0.004402861860209106,0.0009172628875435684,0.003118693817648066
quantity,0.1408915795266924,0.14401027334434047,0.15043111355714545,0.14988075582461935,0.13997431663914883,0.14566134654191898,0.13630526508897456,0.14566134654191898,0.14767932489451474,0.1469455145844799
source,0.05888827738029723,0.06035589800036689,0.05191707943496604,0.05925518253531459,0.054301962942579385,0.05375160521005318,0.05411851036507065,0.05888827738029723,0.05962208769033195,0.05778756191524492
waterpoint_type_group,0.01962942579343241,0.015410016510732039,0.018161805173362744,0.021830856723537018,0.018895615483397465,0.024766097963676348,0.020730141258484713,0.01614382682076687,0.0190790680609062,0.018161805173362744
